NCT.ID,Title,Recruitment,Study.Results,Conditions,Interventions,Sponsors,Gender,Age.Groups,Phases,Enrollment,Funded.Bys,Study.Types,Study.Designs,Other.IDs,First.Received,Start.Date,Completion.Date,Last.Updated,Last.Verified,Acronym,Primary.Completion.Date,Outcome.Measures,URL,study.location,Drug,FDA_app,Number_ints,Brand_name_in_trial
NCT00001151,Studies With Vitamin D,Completed,No Results Available,Hypocalcemia|Rickets,"Drug: 1,25-Dihydroxycholecalciferol",National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Both,Child|Adult|Senior,Phase II,200,NIH,Interventional,Primary Purpose: Treatment,760081|76-DK-0081,11/03/1999,01/03/1976,01/10/2009,7/29/2010,01/10/2009,,01/10/2009,Normal serum calcium concentration.,http://ClinicalTrials.gov/show/NCT00001151,United States,1,0,1,NA
NCT00001563,EPOCH Chemotherapy +/- IL-12 for Previously Untreated and EPOCH Plus Rituximab for Previously Treated Patients With AIDS-Associated Lymphoma,Completed,No Results Available,AIDS Related Lymphoma|Non Hodgkin's Lymphoma,Biological: filgrastim|Biological: rituximab|Drug: EPOCH regimen|Drug: cyclophosphamide|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: methotrexate|Drug: prednisone|Drug: vincristine sulfate,National Cancer Institute (NCI),Both,Adult|Senior,Phase II,39,NIH,Interventional,Allocation: Randomized|Control: Active Control|Primary Purpose: Treatment,970040|97-C-0040,11/03/1999,01/12/1996,01/06/2009,9/17/2010,01/03/2010,,01/06/2009,Toxicity and activity of EPOCH during and at the completion of study treatment|Molecular markers of drug resistance and lymphomagenesis in tumor tissue at the beginning of study treatment,http://ClinicalTrials.gov/show/NCT00001563,United States,1,1,10,0
NCT00002514,Stem Cell Transplantation Compared With Standard Chemotherapy in Treating Patients With Acute Lymphoblastic Leukemia in First Remission,Completed,No Results Available,Leukemia,Biological: filgrastim|Biological: sargramostim|Drug: asparaginase|Drug: cyclophosphamide|Drug: cytarabine|Drug: daunorubicin hydrochloride|Drug: dexamethasone|Drug: etoposide|Drug: imatinib mesylate|Drug: leucovorin calcium|Drug: mercaptopurine|Drug: methotrexate|Drug: mitoxantrone hydrochloride|Drug: prednisone|Drug: thioguanine|Drug: vincristine sulfate|Procedure: allogeneic bone marrow transplantation|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,Eastern Cooperative Oncology Group|National Cancer Institute (NCI)|Medical Research Council,Both,Child|Adult,Phase III,590,Other|NIH,Interventional,Allocation: Randomized|Control: Active Control|Primary Purpose: Treatment,CDR0000078099|ECOG-2993|MRC-LEUK-UKALL-XII|EST-4491,11/01/1999,01/04/1993,NA,4/22/2010,01/08/2007,,01/03/2009,Complete remission,http://ClinicalTrials.gov/show/NCT00002514,United States,1,1,20,0
NCT00002546,Radiation Therapy Compared With Combination Chemotherapy in Treating Patients With Cancer of the Uterus,Completed,No Results Available,Sarcoma,Drug: cisplatin|Drug: ifosfamide|Procedure: adjuvant therapy|Radiation: radiation therapy,Gynecologic Oncology Group|National Cancer Institute (NCI)|Eastern Cooperative Oncology Group,Female,Adult|Senior,Phase III,216,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000063303|GOG-0150|ECOG-G150,11/01/1999,01/12/1993,NA,2/13/2009,01/11/2005,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00002546,"United States, &nbsp; South Africa",1,1,4,0
NCT00002556,Combination Chemotherapy With or Without Interferon Alfa in Treating Patients With Previously Untreated Multiple Myeloma,Completed,No Results Available,Multiple Myeloma and Plasma Cell Neoplasm,Biological: filgrastim|Biological: recombinant interferon alfa|Drug: carmustine|Drug: cyclophosphamide|Drug: melphalan|Drug: prednisone|Drug: vincristine sulfate,Eastern Cooperative Oncology Group|National Cancer Institute (NCI),Both,Adult|Senior,Phase III,289,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000063435|E-5A93,11/01/1999,01/04/1994,NA,5/29/2009,01/06/2002,,01/05/2009,,http://ClinicalTrials.gov/show/NCT00002556,United States,1,1,7,0
NCT00002570,Immediate Compared With Delayed Chemotherapy in Treating Patients With Advanced Colorectal Cancer Without Signs or Symptoms of Disease,Completed,No Results Available,Colorectal Cancer,Drug: fluorouracil|Drug: leucovorin calcium,NCIC Clinical Trials Group|North Central Cancer Treatment Group,Both,Adult|Senior,Phase III,144,Other,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CO10|CAN-NCIC-CO10|NCCTG-JCO10|NCCTG-JCO.10|NCI-V94-0463|CDR0000063607,11/01/1999,01/07/1994,01/02/2009,11/07/2010,01/11/2010,,01/02/2009,,http://ClinicalTrials.gov/show/NCT00002570,United States,1,1,2,0
NCT00002583,Vinorelbine Plus Cisplatin or No Further Therapy in Treating Patients With Non-small Cell Lung Cancer That Has Been Surgically Removed,Completed,No Results Available,Lung Cancer,Drug: cisplatin|Drug: vinorelbine ditartrate,NCIC Clinical Trials Group|National Cancer Institute (NCI)|Southwest Oncology Group|Eastern Cooperative Oncology Group|Cancer and Leukemia Group B,Both,Adult|Senior,Phase III,450,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,BR10|CAN-NCIC-BR10|CLB-9795|E-JBR10|SWOG-JBR10|GW-565/040|NCI-V94-0492|CDR0000063698,11/01/1999,01/07/1994,01/12/2009,11/07/2010,01/11/2010,,01/12/2009,,http://ClinicalTrials.gov/show/NCT00002583,"United States, &nbsp; Canada",1,1,2,0
NCT00002678,Combination Chemotherapy in Treating Patients With Multiple Myeloma,Completed,No Results Available,Multiple Myeloma and Plasma Cell Neoplasm,Drug: dexamethasone|Drug: melphalan|Drug: prednisone,NCIC Clinical Trials Group,Both,Adult|Senior,Phase III,600,Other,Interventional,Allocation: Randomized|Control: Active Control|Primary Purpose: Treatment,MY7|CAN-NCIC-MY7|NCI-V95-0713|CDR0000064328,11/01/1999,01/05/1995,01/12/2009,11/07/2010,01/11/2010,,01/12/2009,,http://ClinicalTrials.gov/show/NCT00002678,"United States, &nbsp; Canada",1,1,3,0
NCT00002760,Antiandrogen Withdrawal in Treating Patients With Hormone-Refractory Prostate Cancer,Completed,No Results Available,Prostate Cancer,Drug: ketoconazole|Drug: therapeutic hydrocortisone,Cancer and Leukemia Group B|National Cancer Institute (NCI),Male,Child|Adult|Senior,Phase III,250,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000064708|CLB-9583,11/01/1999,01/08/1996,NA,8/27/2009,01/08/2009,,01/08/2009,,http://ClinicalTrials.gov/show/NCT00002760,United States,1,1,2,0
NCT00002868,Interferon-Alfa With or Without Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Newly Diagnosed Chronic Myelogenous Leukemia,Completed,No Results Available,Leukemia,Biological: filgrastim|Biological: recombinant interferon alfa|Drug: busulfan|Drug: cytarabine|Drug: etoposide|Drug: hydroxyurea|Drug: idarubicin|Procedure: peripheral blood stem cell transplantation,Medical Research Council|National Cancer Institute (NCI)|Eastern Cooperative Oncology Group,Both,Child|Adult,Phase III,744,Other|NIH,Interventional,Allocation: Randomized|Primary Purpose: Treatment,CDR0000065146|MRC-LEUK-CML-2000|ECOG-E7995|MRC-LEUK-CML-IV|MRC-LEUK-CML-IVa|EU-96029,11/01/1999,01/01/1996,NA,02/04/2009,01/06/2005,,01/01/2009,,http://ClinicalTrials.gov/show/NCT00002868,"United States, &nbsp; United Kingdom",1,1,8,0
