"","Rank","NCT.ID","Title","Recruitment","Study.Results","Conditions","Interventions","Sponsors","Gender","Age.Groups","Phases","Enrollment","Funded.Bys","Study.Types","Study.Designs","Other.IDs","First.Received","Start.Date","Completion.Date","Last.Updated","Last.Verified","Acronym","Primary.Completion.Date","Outcome.Measures","URL","study.location"
"80537",80537,"NCT00357396","Busulfan, Melphalan, and Thiotepa Followed By a Donor Stem Cell Transplant in Treating Patients With High-Risk Ewing's Tumors","Completed","No Results Available","Sarcoma","Biological: graft versus host disease prophylaxis/therapy|Drug: busulfan|Drug: melphalan|Drug: thiotepa|Procedure: allogeneic bone marrow transplantation|Procedure: allogeneic hematopoietic stem cell transplantation|Procedure: peripheral blood stem cell transplantation","Memorial Sloan-Kettering Cancer Center","Both","Child|Adult","Phase II",30,"Other","Interventional","Primary Purpose: Treatment","CDR0000487592|MSKCC-05059","July 26, 2006","01/06/2005",NA,"November 10, 2009","01/11/2009","",2009-10-01,"Disease-free survival at 1 year|Overall survival|Morbidity and mortality|Incidence of acute and chronic graft-vs-host disease (GVHD)|Biologic response of minimal residual disease","http://ClinicalTrials.gov/show/NCT00357396","United States"
"80661",80661,"NCT00528996","An Efficacy and Safety Study to Compare Three Doses of BEA 2180 BR to Tiotropium and Placebo in the Respimat Inhaler.","Completed","No Results Available","Pulmonary Disease, Chronic Obstructive","Drug: BEA 2180 BR|Drug: tiotropium","Boehringer Ingelheim Pharmaceuticals","Both","Adult|Senior","Phase II",2080,"Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment","1205.14|2007-007946-42","September 12, 2007","01/09/2007",NA,"July 16, 2010","01/07/2010","",2009-05-01,"The primary endpoint in this study is trough FEV1 response after 24 weeks.|Trough FEV1 response after 1, 2, 4, 8, 12, and 18 weeks","http://ClinicalTrials.gov/show/NCT00528996","United States, &nbsp; Canada, &nbsp; Germany, &nbsp; Hungary, &nbsp; Korea, Republic of, &nbsp; Mexico, &nbsp; Poland, &nbsp; Russian Federation, &nbsp; Spain, &nbsp; Taiwan"
"80672",80672,"NCT00571896","The Use of SennaS for Prevention of Post-Operative Constipation After Urogynecologic Surgery","Completed","No Results Available","Constipation","Drug: Senna+ docusate|Drug: placebo","Hartford Hospital","Female","Adult|Senior","Phase II|Phase III",72,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PATE002472HE","December 10, 2007","01/01/2008",2009-06-01,"July 1, 2009","01/07/2009","",2009-06-01,"1. Time to first bowel movement after surgery. 2. Need for magnesium citrate or enemas in the immediate post-operative period.|Straining and pain with bowel movements in the immediate post-operative period","http://ClinicalTrials.gov/show/NCT00571896","United States"
"80721",80721,"NCT00647296","Safety and Tolerability Study of KNS-760704 in Amyotrophic Lateral Sclerosis (ALS)","Completed","No Results Available","Amyotrophic Lateral Sclerosis","Drug: KNS-760704","Knopp Neurosciences","Both","Adult|Senior","Phase II",102,"Industry","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KNS-760704-CL201","March 26, 2008","01/03/2008",2009-10-01,"November 6, 2009","01/11/2009","CL201",2009-09-01,"To evaluate the safety and tolerability of oral administration of 3 dosage levels of KNS-760704 compared to placebo for 12 weeks in patients with ALS (Part 1)|To evaluate the long-term safety and tolerability of oral administration of 2 dosage levels of KNS 760704 in ALS patients (Part 2)|To evaluate the effects of KNS-760704 on measures of clinical function|To evaluate the reliability and clinical predictive value of upright and supine vital capacity|To evaluate the effects of KNS-760704 on selected protein levels in blood and cerebrospinal fluid","http://ClinicalTrials.gov/show/NCT00647296","United States"
"80790",80790,"NCT00739596","Blood Pressure Lowering of Aliskiren HCTZ Versus Amlodipine in Stage 2 Hypertension in African Americans","Completed","Has Results","Hypertension","Drug: Aliskiren Hydrochlorothiazide (HCTZ): 8 weeks|Drug: Amlodipine: 8 weeks","Novartis Pharmaceuticals","Both","Adult|Senior","Phase IV",332,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)|Primary Purpose: Treatment","CSPP100AUS03","August 21, 2008","01/07/2008",2009-03-01,"December 14, 2010","01/12/2010","ATLAAST",2009-03-01,"Change in Mean Sitting Systolic Blood Pressure (MSSBP) After 8 Weeks of Treatment|Change in Mean Sitting Diastolic Blood Pressure (MSDBP) After 8 Weeks of Treatment|Change in Mean Sitting Pulse Pressure (MSPP) After 8 Weeks of Treatment|Proportion of Responders After 8 Weeks of Treatment.|Proportion of Patients Achieving BP Control After 8 Weeks of Treatment","http://ClinicalTrials.gov/show/NCT00739596","United States"
"81025",81025,"NCT01180296","Oral Progesterone for Prevention of Preterm Birth","Completed","No Results Available","Preterm Birth","Drug: oral micronized progesterone|Drug: Identical Placebo tablet","Fetal Medicine Foundation","Female","Adult","Phase III",33,"Other","Interventional","Allocation: Randomized|Control: Placebo Control|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","MVH-MP-Pilot-RCT","August 10, 2010","01/11/2006",2009-01-01,"August 11, 2010","01/08/2010","",2009-01-01,"Rate of recurrent preterm birth|Serum Progesterone Levels","http://ClinicalTrials.gov/show/NCT01180296","United States"
"81168",81168,"NCT00058097","Tipifarnib and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme","Completed","No Results Available","Brain and Central Nervous System Tumors","Drug: tipifarnib|Radiation: radiation therapy","National Cancer Institute (NCI)","Both","Adult|Senior","Phase II",NA,"NIH","Interventional","Masking: Open Label|Primary Purpose: Treatment","CDR0000285732|NABTT-2200|JHOC-NABTT-2200","April 7, 2003","01/08/2003",NA,"April 24, 2009","01/04/2004","",2009-01-01,"","http://ClinicalTrials.gov/show/NCT00058097","United States"
"81186",81186,"NCT00091897","Rituximab to Treat Stiff Person Syndrome","Completed","No Results Available","Stiff Person Syndrome","Drug: Rituximab","National Institute of Neurological Disorders and Stroke (NINDS)","Both","Adult|Senior","Phase II",24,"NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)|Primary Purpose: Treatment","040287|04-N-0287","September 18, 2004","01/09/2004",NA,"January 28, 2010","01/05/2009","",2009-05-01,"To evaluate the efficacy, safety of the chimeric monoclonal antibody Rituximab to deplete B lymphocytes in patients with Stiff Person Syndrome with high anti-GAD antibodies.|The Heightened Sensitivity Scale will be used as a secondary outcome measure.","http://ClinicalTrials.gov/show/NCT00091897","United States"
"81238",81238,"NCT00171197","A 1-year Extension Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Effects on Liver Iron Concentration of Deferasirox and Deferoxamine in Children and Adults With Sickle Cell Disease and Transfusional Hemosiderosis","Completed","No Results Available","Sickle Cell Disease","Drug: Deferasirox","Novartis Pharmaceuticals","Both","Child|Adult|Senior","Phase II",170,"Industry","Interventional","Allocation: Non-Randomized|Control: Uncontrolled|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CICL670A109E1","September 12, 2005","01/05/2004",NA,"December 9, 2010","01/12/2010","",2009-07-01,"Evaluate the long-term safety and tolerability profile of ICL670|Allow patients to continue iron chelation therapy|Estimate the absolute and relative change of liver iron content (LIC) and total body iron excretion (TBIE)|Evaluate the relationship between hepatic iron and potential surrogate markers","http://ClinicalTrials.gov/show/NCT00171197","United States, &nbsp; Canada, &nbsp; France, &nbsp; Italy, &nbsp; United Kingdom"
"81459",81459,"NCT00472797","Rebif New Formulation (RNF) Quality of Life (QOL) Study","Completed","Has Results","Relapsing Multiple Sclerosis","Drug: Rebif New Formulation Non Titrated|Drug: Rebif New Formulation Titrated","EMD Serono","Both","Adult","Phase III",232,"Industry","Interventional","Allocation: Randomized|Control: Uncontrolled|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Supportive Care","27955","May 10, 2007","01/04/2007",2009-11-01,"August 17, 2010","01/08/2010","RebiQoL",2009-02-01,"Percent Change in Global Side Effects (GSE) on Multiple Sclerosis Treatment Concerns Quesionnaire (MSTCQ)|Total Score for Global Side Effects on Multiple Sclerosis Treatment Concerns Questionnaire (MSTCQ)|Change in Score From Baseline to Week 12 for All Domains Other Than Global Side Effects on Multiple Sclerosis Treatment Concerns Questionnaire (MSTCQ)|Total Score on Short-Form McGill Pain Questionnaire (SF-MPQ): Change in Baseline to Wk 12|Tolerability in Pain Using Visual Analog Scale (VAS)|Tolerability - Redness at Injection Site","http://ClinicalTrials.gov/show/NCT00472797","United States"
