"","Rank","NCT.ID","Title","Recruitment","Study.Results","Conditions","Interventions","Sponsors","Gender","Age.Groups","Phases","Enrollment","Funded.Bys","Study.Types","Study.Designs","Other.IDs","First.Received","Start.Date","Completion.Date","Last.Updated","Last.Verified","Acronym","Primary.Completion.Date","Outcome.Measures","URL","study.location"
"104",104,"NCT00097500","Effects of Exenatide and Insulin Glargine in Subjects With Type 2 Diabetes","Completed","Has Results","Type 2 Diabetes Mellitus","Drug: exenatide|Drug: Insulin glargine","Amylin Pharmaceuticals, Inc.|Eli Lilly and Company","Both","Adult|Senior","Phase III",69,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","2993-114","November 24, 2004","01/09/2004",2009-12-01,"December 24, 2010","01/12/2010","",2009-12-01,"Beta-cell Function After 52 Weeks of Therapy|Beta-cell Function 4 Weeks After Cessation of Therapy|Change in First Phase C-peptide Release|Change in Second Phase C-peptide Release|Change in Glycosylated Hemoglobin (HbA1c)|Change in Fasting Plasma Glucose|Seven Point Self Monitored Blood Glucose (SMBG) Measurements|Change in Body Weight|M-value at Baseline, Week 52 and Week 56","http://ClinicalTrials.gov/show/NCT00097500",NA
"154",154,"NCT00184600","Comparison of Insulin Detemir, Insulin Aspart and Biphasic Insulin Aspart 30 With OAD Treatment in Type 2 Diabetes","Completed","No Results Available","Diabetes Mellitus, Type 2","Drug: biphasic insulin aspart|Drug: insulin detemir|Drug: insulin aspart","Novo Nordisk","Both","Adult|Senior","Phase III",708,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","NN304-1613","September 13, 2005","01/11/2004",2009-08-01,"July 16, 2010","01/07/2010","4T",2009-08-01,"Proportion of subjects who achieve HbA1c below or equal to 6.5% without hypoglycaemia|Efficacy and durability of the insulin regimens|Adverse events|Body weight|Quality of Life|Blood glucose|Hypoglycaemia","http://ClinicalTrials.gov/show/NCT00184600",NA
"183",183,"NCT00234000","Azacitidine and Arsenic Trioxide in Treating Patients With Myelodysplastic Syndromes","Completed","No Results Available","Leukemia|Myelodysplastic Syndromes","Drug: arsenic trioxide|Drug: azacitidine","University of California, Los Angeles|National Cancer Institute (NCI)|Cell Therapeutics|Celgene Corporation","Both","Adult|Senior","Phase I|Phase II",78,"Other|NIH|Industry","Interventional","Masking: Open Label|Primary Purpose: Treatment","CDR0000442931|P30CA016042|UCLA-0408087","October 5, 2005","01/02/2007",2009-02-01,"September 24, 2010","01/09/2010","",2009-02-01,"Safety and tolerability as assessed by NCI CTCAE v3.0 (Phase I)|Transfusion independence (Phase II)|Improvement in peripheral blood counts (Phase II)|Complete or partial remission (Phase II)|Hematologic-platelet and hematologic-neutrophil response|Time to disease progression|Overall and progression-free survival|Cytogenetic response","http://ClinicalTrials.gov/show/NCT00234000",NA
"203",203,"NCT00265200","Using TRAP to Evaluate the Effect of Zometa on Bone Metastasis Due to Lung Cancer","Completed","No Results Available","Carcinoma, Non-Small Cell Lung|Carcinoma, Small Cell Lung|Metastases","Drug: zoledronic acid","James Graham Brown Cancer Center|University of Louisville|Novartis Pharmaceuticals","Both","Adult|Senior","Phase II",28,"Other|Industry","Interventional","Allocation: Non-Randomized|Control: Uncontrolled|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic","565.04|BCC-LUN-04-002","December 12, 2005","01/02/2005",2009-06-01,"January 11, 2010","01/01/2010","",2009-06-01,"Blood specimens to measure TRAP level|Brief Pain Questionnaire to evaluate subject's pain|Bone imaging tests (bone scan, PET scan, MRI, and/or x-ray) will be done to measure progression of bone metastasis","http://ClinicalTrials.gov/show/NCT00265200",NA
"227",227,"NCT00299000","A Phase 4 Two Dose Level Study of Naglazyme(TM) (Galsulfase) in Infants With MPS VI","Completed","Has Results","Mucopolysaccharidosis VI|Maroteaux-Lamy Syndrome","Drug: Naglazyme","BioMarin Pharmaceutical","Both","Child","Phase IV",4,"Industry","Interventional","Allocation: Randomized|Control: Dose Comparison|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","ASB-008","March 2, 2006","01/05/2006",2009-04-01,"September 28, 2010","01/09/2010","",2009-04-01,"Change in Height|Change in Weight|Change in Haed Circumference|Change in Urinary Glycosaminoglycan Levels","http://ClinicalTrials.gov/show/NCT00299000",NA
"241",241,"NCT00262600","Randomized Evaluation of Long Term Anticoagulant Therapy (RE-LY) With Dabigatran Etexilate","Completed","No Results Available","Atrial Fibrillation|Cerebrovascular Accident","Drug: Dabigatran etex|Drug: Warfarin","Boehringer Ingelheim Pharmaceuticals","Both","Adult|Senior","Phase III",18115,"Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention","1160.26|2005-003894-26","December 6, 2005","01/11/2005",NA,"September 1, 2010","01/09/2010","",2009-04-01,"Incidence of stroke (including hemorrhagic) and systemic embolism|Incidence of stroke (including hemorrhagic), systemic embolism, all death Incidence of stroke (including hemorrhagic), systemic embolism, pulmonary embolism, acute myocardial infarction, or vascular deaths (including deaths from bleeding)","http://ClinicalTrials.gov/show/NCT00262600",NA
"284",284,"NCT00386100","A Type 2 Diabetes Study of the Longer-Term Glycemic Effect of AVANDAMET vs. Metformin","Completed","No Results Available","Diabetes Mellitus, Type 2","Drug: Metformin 2000 mg (ttd)|Drug: Metformin 500 mg (ttd)|Drug: Avandamet 2 mg/500 mg (ttd)|Drug: Avandamet 8 mg/ 2000 mg (ttd)|Drug: Avandamet 6 mg/1500 mg (ttd)|Drug: Avandamet 4 mg/1000 mg (ttd)|Drug: Metformin 1000 mg (ttd)|Drug: Metformin 1500 mg (ttd)","GlaxoSmithKline","Both","Adult|Senior","Phase IV",688,"Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AVT105913","October 9, 2006","01/10/2006",2009-09-01,"June 3, 2010","01/06/2010","",2009-09-01,"Percentage change in BMD, as measured by DXA, from baseline to 80 weeks at the lumbar spine (L1-L4) (Bone sub-study)|Mean change in HbA1c from baseline to week 80|Change in adiponectin and C-reactive protein from baseline to week 56 and week 80. Change in total cholesterol, LDL-cholesterol, non-HDL-cholesterol, HDL-cholesterol and triglycerides from baseline to week 80.|Percentage change in BMD at the total hip, femoral neck, trochanter, distal radius, and total body after 80 weeks of treatment (Bone sub-study)|Percentage change in BMD at the lumbar spine (L1-L4), total hip, femoral neck, trochanter, distal radius, and total body over time (Bone sub-study)|Change in biochemical markers of bone turnover at weeks 20, 56 and 80 (Bone sub-study)|Change in estradiol at weeks 20, 56 and 80 (Bone sub-study)|Changes in markers of calcium homeostasis markers at week 80 (Bone sub-study)|Mean change in FPG from baseline to week 80.Change from baseline in HbA1c and FPG by visit (over time).Proportion of subjects achieving recommended glycemic targets.Evaluation of adverse events/safety and tolerability over 80 weeks of treatment.|Change in HbA1c from baseline to week 80 based on last observation carried forward (LOCF) from week 32. Proportion of subjects achieving HbA1c 6.5% and <7% at week 80.|Change in FPG from baseline to week 80. Proportion of subjects achieving FPG 100 mg/dL (5.56 mmol/L), <110mg/dL (6.1 mmol/L) and 126 mg/dL (7 mmol/L) at week 80. Change from baseline in HbA1c and FPG at each visit.|Time from randomization to treatment failure (i.e., HbA1c 7% after week 32 or withdrawal due to ITE). Change in FFA, fasting insulin, C-peptide, HOMA-S and HOMA-B from baseline to week 80 (subset of subjects).|Rate of change (i.e. slope) in -cell function as estimated by the ratio I/G over 80 weeks of treatment (subset of subjects). Proportion of subjects with HbA1c 6.5% and >6.5%, and <7% and 7% at week 32 and at week 80.","http://ClinicalTrials.gov/show/NCT00386100",NA
"299",299,"NCT00296400","Prospective Evaluation of Proteinuria and Renal Function in Non-diabetic Patients With Progressive Renal Disease","Completed","Has Results","Hyperlipidemia","Drug: Rosuvastatin|Drug: Atorvastatin","AstraZeneca","Both","Adult|Senior","Phase II",237,"Industry","Interventional","Allocation: Randomized|Control: Active Control|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double-Blind|Primary Purpose: Treatment","D3569C00011|PLANET II","February 23, 2006","01/02/2006",2009-06-01,"November 30, 2010","01/11/2010","PLANET II",2009-06-01,"Urinary Protein/Creatinine Ratio at Week 52 [LOCF]|Urinary Protein/Creatinine Ratio at Week 26.|Urinary Albumin/Creatinine Ratio at Week 26|Urinary Albumin/Creatinine Ratio at Week 52 [LOCF]|Change From Baseline in Estimated Glomerular Filtration Rate (eGFR) at Week 26|Change From Baseline in eGFR at Week 52 [LOCF]|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Total Cholesterol [TC] at Week 26.|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Total Cholesterol [TC] at Week 52.|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Low Density Lipoprotein Cholesterol (LDL-C) at Week 26|Correlation of Changes From Baseline inUrinary Protein/Creatinine Ratio With Percent Change From Baseline in LDL-C|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in High Density Lipoprotein Cholesterol [HDL-C] at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in HDL-C at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Non-high Density Lipoprotein Cholesterol [nonHDL-C] at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in nonHDL-C at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Triglyceride [TG] at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in TG at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in TC/HDL-C Ratio at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in TC/HDL-C Ratio at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in LDL-C/HDL-C Ratio at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in LDL-C/HDL-C Ratio at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in nonHDL-C/HDL-C Ratio at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in nonHDL-C/HDL-C Ratio at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Apolipoprotein A-1 [ApoA-1] at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in ApoA-1 at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in Apolipoprotein B [ApoB] at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in ApoB at Week 52|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in ApoB/ApoA-1 Ratio at Week 26|Correlation of Changes From Baseline in Urinary Protein/Creatinine Ratio With Percent Change From Baseline in ApoB/ApoA-1 Ratio at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in TC at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in TC at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in LDL-C at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in LDL-C at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in HDL-C at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in HDL-C at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in nonHDL-C at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in nonHDL-C at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in TG at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in TG at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in TC/HDL-C Ratio at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in TC/HDL-C Ratio at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in LDL-C/HDL-C Ratio at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in LDL-C/HDL-C Ratio at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in nonHDL-C/HDL-C Ratio at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in nonHDL-C/HDL-C Ratio at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in ApoA-1 at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in ApoA-1 at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in ApoB at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in ApoB at Week 52|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in ApoB/ApoA-1 Ratio at Week 26|Correlation of Changes From Baseline in Urinary Albumin/Creatinine Ratio With Percent Change From Baseline in ApoB/ApoA-1 Ratio at Week 52|Correlation of Changes From Baseline in eGFR With Percent Change From Baseline in TC at Week 26|Correlation of Changes From Baseline in eGFR With Percent Change From Baseline in TC at Week 52|Correlation of Changes From Baseline in eGFR With Percent Change From Baseline in LDL-C at Week 26|Correlation of Changes From Baseline in eGFR With Percent Change From Baseline in LDL-C at Week 52|Correlation of Changes From Baseline in eGFR With Percent Change From Baseline in HDL-C at Week 26|Correlation of Changes From Baseline in eGFR With Percent Change From Baseline in HDL-C at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in nonHDL-C at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in nonHDL-C at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in TG at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in TG|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in TC/HDL-C Ratio at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in TC/HDL-C Ratio at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in LDL-C/HDL-C Ratio at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in LDL-C/HDL-C Ratio at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in nonHDL-C/HDL-C Ratio at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in nonHDL-C/HDL-C Ratio at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in ApoA1 at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in ApoA1 at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in ApoB at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in ApoB at Week 52|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in ApoB/ApoA-1 Ratio at Week 26|Correlation of Change From Baseline in eGFR With Percent Change From Baseline in ApoB/ApoA-1 Ratio at Week 52","http://ClinicalTrials.gov/show/NCT00296400",NA
"308",308,"NCT00423800","Efficacy and Safety of 24 vs 48 Weeks of Pegetron?ó (Peginterferon Alfa-2b + Ribavirin) in Na??ve Genotype 1 Hepatitis C (Study P05016)(COMPLETED)","Completed","No Results Available","Hepatitis C, Chronic","Drug: Combination of pegylated interferon alfa-2b and ribavirin","Schering-Plough","Both","Adult","Phase III",212,"Industry","Interventional","Allocation: Randomized|Control: Dose Comparison|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","P05016","January 17, 2007","01/12/2006",2009-10-01,"January 27, 2010","01/01/2010","",2009-10-01,"Sustained virologic response, defined as HCV-RNA negative (below limit of detection) 24 weeks following the completion of therapy|Relapse rate, defined as the percentage of subjects with negative virology at end of treatment, but positive virology at 24 weeks of follow up post treatment.","http://ClinicalTrials.gov/show/NCT00423800",NA
"323",323,"NCT00456300","Role of Exenatide in Type 1 Diabetes","Completed","No Results Available","Type 1 Diabetes","Drug: Exenatide","Baylor College of Medicine|National Institutes of Health (NIH)","Both","Child|Adult","Phase IV",17,"Other|NIH","Interventional","Allocation: Randomized|Control: Dose Comparison|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Crossover Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","H-16488","April 3, 2007","01/03/2007",2009-03-01,"November 30, 2010","01/11/2010","",2009-03-01,"Area under the curve for glucose","http://ClinicalTrials.gov/show/NCT00456300",NA
